3000 từ thông dụng
abandon	từ bỏ
imaginary	tưởng tượng
imagination	trí tưởng tượng
imagine	tưởng tượng
immediate	ngay lập tức
immediately	ngay
immoral	vô đạo đức
impact	va chạm
impatient	nóng nảy
implication	ngụ ý
imply	bao hàm, ngụ ý
import	nhập khẩu
importance	tầm quan trọng
important	quan trọng
importantly	quan trọng
impose	áp đặt
impossible	Không thể nào
impress	gây ấn tượng
impressed	ấn tượng
impression	ấn tượng
impressive	ấn tượng
improve	cải tiến
improvement	cải thiện
in	trong
inability	không có khả năng
inch	inch
incident	biến cố
include	bao gồm
including	kể cả
income	thu nhập
increase	tăng
increasingly	ngày càng
indeed	thật
independence	sự độc lập
independent	độc lập
independently	độc lập
index	mục lục
indicate	biểu thị
indication	dấu hiệu
indirect	gián tiếp
indirectly	gián tiếp
individual	cá nhân
indoor	trong nhà
indoors	trong nhà
industrial	công nghiệp
industry	ngành công nghiệp
inevitable	chắc chắn xảy ra
inevitably	không tránh khỏi
infect	lây nhiễm
infected	bị nhiễm
infection	nhiễm trùng
infectious	truyền nhiễm
influence	ảnh hưởng
inform	thông báo
informal	không chính thức
information	thông tin
ingredient	thành phần
initial	ban đầu
initially	ban đầu
initiative	sáng kiến
injure	làm tổn thương
injured	bị thương
injury	chấn thương
ink	mực
inner	bên trong
innocent	vô tội
insect	côn trùng
insert	chèn
inside	phía trong
insist	năn nỉ
install	cài đặt, dựng lên
instance	ví dụ
instead	thay thế
institute	học viện
institution	tổ chức
instruction	chỉ dẫn
instrument	nhạc cụ
insult	xúc phạm
insulting	xúc phạm
insurance	bảo hiểm
intelligence	Sự thông minh
intelligent	thông minh
intend	có ý định
intended	dự định
intention	ý định
interest	quan tâm
interested	quan tâm
interesting	hấp dẫn
interior	Nội địa
internal	nội bộ
international	quốc tế
Internet	Internet
interpret	thông dịch
interpretation	diễn dịch
interrupt	làm gián đoạn
interruption	sự gián đoạn
interval	khoảng thời gian
interview	phỏng vấn
into	vào
introduce	giới thiệu
introduction	Giới thiệu
invent	phát minh
invention	sự phát minh
invest	đầu tư
investigate	điều tra
investigation	cuộc điều tra
investment	đầu tư
invitation	lời mời
invite	mời gọi
involve	liên quan
involved	có tính liên quan
involvement	sự tham gia
iron	bàn là
irritate	kích thích
irritated	bị kích thích
irritating	khó chịu
island	Đảo
issue	vấn đề
it	nó
item	mục
its	nó là
itself	chinh no
jacket	Áo khoác
jam	mứt
January	tháng Giêng
jealous	ghen tuông
jeans	Quần jean
jelly	thạch
jewellery	đồ kim hoàn
job	việc làm
join	tham gia
joint	chung
jointly	cùng nhau
joke	trò đùa
journalist	nhà báo
journey	hành trình
joy	vui sướng
judge	thẩm phán
judgement	sự phán xét
juice	Nước ép
July	Tháng 7
jump	nhảy lên
June	Tháng sáu
junior	em
just	chỉ
justice	Sự công bằng
justified	hợp lý
justify	biện minh
keen	sắc sảo
keep	giữ
key	Chìa khóa
keyboard	bàn phím
kick	đá
kid	đứa trẻ
kill	giết chết
killing	giết người
kilogram	kilôgam
kilometre	km
kind	loại
kindly	vui lòng
kindness	lòng tốt
king	nhà vua
kiss	hôn
kitchen	phòng bếp
knee	đầu gối
knife	dao
knit	Đan
knitted	dệt kim
knitting	đan
knock	đánh
knot	nút thắt
know	biết
knowledge	hiểu biết
lab	phòng thí nghiệm
label	nhãn
laboratory	phòng thí nghiệm
labour	lao động
lack	thiếu sót
lacking	thiếu xót
lady	quý bà
lake	hồ nước
lamp	đèn
land	đất đai
landscape	phong cảnh
lane	làn đường
language	ngôn ngữ
large	lớn
largely	phần lớn
last	Cuối cùng
late	muộn
later	một lát sau
latest	muộn nhất
latter	sau này
laugh	cười
launch	phóng
law	pháp luật
lawyer	luật sư
lay	đặt nằm
layer	lớp
lazy	lười biếng
lead	chì
leader	người lãnh đạo
leading	dẫn đầu
leaf	lá
league	liên đoàn
lean	gầy
learn	học hỏi
least	ít nhất
leather	da
leave	rời khỏi
lecture	bài học
left	trái
leg	Chân
legal	hợp pháp
legally	hợp pháp
lemon	Chanh
lend	cho vay
length	chiều dài
less	ít hơn
lesson	bài học
let	để cho
letter	lá thư
level	cấp độ
library	thư viện
licence	giấy phép
license	giấy phép
lid	Nắp
lie	nói dối
life	đời sống
lift	thang máy
light	ánh sáng
lightly	nhẹ nhàng
like	như
likely	có khả năng
limit	giới hạn
limited	hạn chế
line	hàng
link	liên kết
lip	môi
liquid	chất lỏng
list	danh sách
listen	nghe
literature	văn chương
litre	lít
little	ít
live	trực tiếp
lively	sống động
living	sống
load	tải trọng
loan	tiền vay
local	địa phương
locally	cục bộ
locate	định vị
located	nằm
location	vị trí
lock	Khóa
logic	logic
logical	hợp lý
lonely	cô đơn
long	Dài
look	nhìn
loose	lỏng lẻo
loosely	lỏng lẻo
lord	Chúa tể
lorry	xe tải
lose	thua
loss	mất mát
lost	mất đi
lot	nhiều
loud	to tiếng
loudly	lớn tiếng
love	yêu
lovely	đáng yêu
lover	người yêu
low	thấp
loyal	trung thành
luck	may mắn
lucky	may mắn
luggage	Hành lý
lump	cục bướu
lunch	Bữa trưa
lung	phổi
machine	máy móc
machinery	máy móc
mad	điên
magazine	tạp chí
magic	ma thuật
mail	thư
main	chủ yếu
mainly	chủ yếu
maintain	duy trì
major	chính
majority	đa số
make	chế tạo
male	Nam giới
mall	trung tâm mua sắm
man	Đàn ông
manage	quản lý
management	sự quản lý
manager	giám đốc
manner	cách thức
manufacture	sản xuất
manufacturer	nhà chế tạo
manufacturing	chế tạo
many	nhiều
map	bản đồ
march	tháng Ba
mark	dấu
market	thị trường
marketing	tiếp thị
marriage	kết hôn
married	cưới nhau
marry	kết hôn
mass	khối lượng
massive	to lớn
master	bậc thầy
match	trận đấu
matching	kết hợp
mate	người bạn đời
material	vật chất
mathematics	toán học
matter	vấn đề
maximum	tối đa
may	có thể
maybe	có lẽ
mayor	thị trưởng
me	tôi
meal	bữa ăn
mean	nghĩa là
meaning	Ý nghĩa
means	có nghĩa
meanwhile	trong khi đó
measure	đo
measurement	đo lường
meat	thịt
media	phương tiện truyền thông
medical	Y khoa
medicine	dược phẩm
medium	Trung bình
meet	gặp
meeting	gặp gỡ
melt	tan chảy
member	hội viên
membership	thành viên
memory	ký ức
mental	tâm thần
mentally	tinh thần
mention	đề cập
menu	thực đơn
mere	chỉ là
merely	chỉ đơn thuần là
mess	lộn xộn
message	thông điệp
metal	kim loại
method	phương pháp
metre	đồng hồ đo
midday	giữa trưa
middle	ở giữa
midnight	nữa đêm
might	có thể
mild	dịu dàng
mile	dặm
military	quân đội
milk	Sữa
milligram	milligram
millimetre	milimet
million	triệu
millionth	một phần triệu
mind	lí trí
mine	của tôi
mineral	khoáng sản
minimum	tối thiểu
minister	bộ trưởng, mục sư
ministry	Bộ
minor	diễn viên phụ
minority	thiểu số
minute	phút
mirror	gương
miss	bỏ lỡ
missing	còn thiếu
mistake	sai lầm
mistaken	nhầm lẫn
mix	pha trộn
mixed	hỗn hợp
mixture	hỗn hợp
mobile	di động
model	mô hình
modern	hiện đại
mom	mẹ
moment	chốc lát
money	tiền bạc
monitor	màn hình
month	tháng
mood	khí sắc
moon	mặt trăng
moral	đạo đức
morally	đạo đức
more	hơn
moreover	hơn thế nữa
morning	buổi sáng
most	phần lớn
mostly	chủ yếu
mother	mẹ
motion	chuyển động
motor	động cơ
motorbike	xe máy
motorcycle	xe máy
mount	gắn kết
mountain	núi
mouse	chuột
mouth	miệng
move	di chuyển
movement	sự di chuyển
movie	bộ phim
moving	di chuyển
much	nhiều
mud	bùn
multiply	nhân
mum	mẹ
murder	giết người
muscle	cơ bắp
museum	viện bảo tàng
music	Âm nhạc
musical	âm nhạc
musician	nhạc sĩ
must	phải
my	của tôi
myself	riêng tôi
mysterious	bí ẩn
mystery	huyền bí
nail	móng tay
naked	trần truồng
name	Tên
narrow	hẹp
nation	quốc gia
national	Quốc gia
natural	tự nhiên
naturally	một cách tự nhiên
nature	Thiên nhiên
navy	Hải quân
near	ở gần
nearby	gần đó
nearly	Gần
neat	khéo léo
neatly	gọn gàng
necessarily	nhất thiết
necessary	cần thiết
neck	cái cổ
need	nhu cầu
needle	cây kim
negative	tiêu cực
neighbour	hàng xóm
neighbourhood	khu vực lân cận
neither	cũng không
nephew	cháu trai
nerve	dây thần kinh
nervous	lo lắng
nervously	lo lắng
nest	tổ
net	mạng lưới
network	mạng lưới
never	không bao giờ
nevertheless	Tuy nhiên
new	Mới
newly	mới được
news	Tin tức
newspaper	báo chí
next	kế tiếp
nice	tốt đẹp
nicely	độc đáo
niece	cháu gái
night	đêm
nine	chín
nineteen	mười chín
nineteenth	thứ mười chín
ninetieth	thứ chín mươi
ninety	chín mươi
ninth	thứ chín
no	Không
nobody	không ai
noise	tiếng ồn
noisily	ồn ào
noisy	ồn ào
none	không ai
nonsense	vô lý
nor	cũng không
normal	bình thường
normally	bình thường
north	Bắc
northern	Phương bắc
nose	mũi
not	không phải
note	chú thích
nothing	không có gì
notice	để ý
noticeable	đáng chú ý
novel	cuốn tiểu thuyết
November	Tháng mười một
now	hiện nay
nowhere	hư không
nuclear	Nguyên tử
number	con số
nurse	y tá
nut	hạt
obey	tuân theo
object	vật
objective	mục tiêu
observation	quan sát
observe	quan sát
obtain	đạt được
obvious	hiển nhiên
obviously	chắc chắn
occasion	dịp
occasionally	thỉnh thoảng
occupied	bị chiếm đóng
occupy	chiếm
occur	xảy ra
ocean	đại dương
o’clock	giờ
October	Tháng Mười
odd	lẻ
oddly	kỳ quặc
of	của
off	tắt
offence	xúc phạm
offend	xúc phạm
offense	xúc phạm
offensive	phản cảm
offer	phục vụ
office	văn phòng
officer	nhân viên văn phòng
official	chính thức
officially	chính thức
often	thường xuyên
oh	Oh
oil	dầu
OK	được
old	cũ
on	trên
once	Một lần
one	một
onion	củ hành
online	Trực tuyến
only	chỉ có
onto	trên
open	mở
opening	khai mạc
openly	công khai
operate	vận hành
operation	hoạt động
opinion	ý kiến
opponent	phản đối
opportunity	cơ hội
oppose	phản đối
opposed	phản đối
opposing	phản đối
opposite	đối diện
opposition	Sự đối lập
option	Tùy chọn
or	hoặc là
orange	trái cam
order	gọi món
ordinary	bình thường
organ	đàn organ
organization	cơ quan
organize	tổ chức
organized	có tổ chức
origin	gốc
original	nguyên
originally	ban đầu
other	khác
otherwise	nếu không thì
our	của chúng tôi
ours	của chúng tôi
ourselves	chính chúng ta
out	ngoài
outdoor	ngoài trời
outdoors	ngoài trời
outer	bên ngoài
outline	đề cương
output	đầu ra
outside	ở ngoài
outstanding	nổi bật
oven	lò nướng
over	kết thúc
overall	tổng thể
overcome	vượt qua
owe	nợ
own	sở hữu
owner	chủ nhân
pace	tốc độ
pack	đóng gói
package	gói
packaging	bao bì
packet	gói
page	trang
pain	đau đớn
painful	đau đớn
paint	Sơn
painter	họa sĩ
painting	bức vẽ
pair	đôi
palace	cung điện
pale	nhợt nhạt
pan	cái chảo
panel	bảng điều khiển
pants	quân dai
paper	giấy
parallel	song song, tương đông
parent	cha mẹ
park	công viên
parliament	quốc hội
part	phần
particular	cụ thể
particularly	đặc biệt
partly	từng phần
partner	cộng sự
partnership	quan hệ đối tác
party	buổi tiệc
pass	vượt qua
passage	đoạn văn
passenger	hành khách
passing	đi qua
passport	hộ chiếu
past	quá khứ
path	con đường
patience	kiên nhẫn
patient	bệnh nhân
pattern	mẫu
pause	tạm ngừng
pay	trả
payment	thanh toán
peace	hòa bình
peaceful	bình yên
peak	cao điểm
pen	cây bút
pencil	bút chì
penny	đồng xu
pension	lương hưu
people	những người
pepper	tiêu
per	mỗi
perfect	hoàn hảo
perfectly	hoàn toàn
perform	biểu diễn
performance	hiệu suất
performer	người biểu diễn
perhaps	có lẽ
period	giai đoạn
permanent	dài hạn
permanently	vĩnh viễn
permission	sự cho phép
permit	giấy phép
person	người
personal	cá nhân
personality	nhân cách
personally	cá nhân
persuade	truy vấn
pet	vật nuôi
petrol	xăng dầu
phase	giai đoạn
philosophy	triết học
phone	điện thoại
photo	ảnh
photocopy	sao chep
photograph	ảnh chụp
photographer	nhiếp ảnh gia
photography	nhiếp ảnh
phrase	cụm từ
physical	vật lý
physically	thể chất
physics	vật lý
piano	đàn piano
pick	chọn
picture	hình ảnh
piece	cái
pig	con lợn
pile	Đóng cọc
pill	Viên thuốc
pilot	Phi công
pin	ghim
pink	Hồng
pint	pint
pipe	ống
pitch	sân cỏ
pity	lòng thương hại
place	địa điểm
plain	trơn
plan	kế hoạch
plane	máy bay
planet	hành tinh
planning	lập kế hoạch
plant	thực vật
plastic	nhựa
plate	đĩa
platform	nền tảng
play	chơi
player	người chơi
pleasant	dễ chịu
pleasantly	vui vẻ
please	xin vui lòng
pleased	vừa lòng
pleasing	làm hài lòng
pleasure	vui lòng
plenty	nhiều
plot	âm mưu
plug	phích cắm
plus	thêm
pocket	túi
poem	bài thơ
poetry	thơ phú
point	điểm
pointed	nhọn
poison	chất độc
poisonous	độc
pole	cây sào
police	cảnh sát
policy	chính sách
polish	đánh bóng
polite	lịch sự
politely	lịch sự
political	chính trị
politically	chính trị
politician	chính trị gia
politics	chính trị
pollution	sự ô nhiễm
pool	hồ bơi
poor	nghèo nàn
pop	pop
popular	phổ biến
population	dân số
port	Hải cảng
pose	tư thế
position	Chức vụ
positive	tích cực
possess	sở hữu
possession	chiếm hữu
possibility	khả năng
possible	khả thi
possibly	có thể
post	bài đăng
pot	nồi
potato	khoai tây
potential	tiềm năng
potentially	có khả năng
pound	pao
pour	đổ
powder	bột
power	quyền lực
powerful	quyền lực
practical	thực tế
practically	thực tế
practice	thực hành
practise	thực hành
praise	khen ngợi
pray	cầu nguyện
prayer	lời cầu nguyện
precise	tóm lược
precisely	đúng
predict	dự đoán
prefer	thích hơn
preference	sở thích
pregnant	có thai
premises	cơ sở
preparation	sự chuẩn bị
prepare	chuẩn bị
prepared	chuẩn bị
presence	sự hiện diện
present	hiện tại
presentation	trình bày
preserve	bảo tồn
president	chủ tịch
press	nhấn
pressure	sức ép
presumably	có lẽ
pretend	giả vờ
pretty	đẹp
prevent	ngăn chặn
previous	Trước
previously	trước đây
price	giá bán
pride	tự hào
priest	thầy tu
primarily	chủ yếu
primary	sơ cấp
prince	Hoàng tử
princess	công chúa
principle	nguyên tắc
print	in
printer	máy in
printing	sự in
prior	trước
priority	sự ưu tiên
prison	tù giam
prisoner	Tù nhân
private	riêng tư
privately	riêng tư
prize	giải thưởng
probable	có thể xảy ra
probably	có lẽ
problem	vấn đề
procedure	thủ tục
proceed	tiến hành
process	quá trình
produce	sản xuất
producer	nhà sản xuất
product	sản phẩm
production	sản xuất
profession	chuyên nghiệp
professional	chuyên nghiệp
professor	Giáo sư
profit	lợi nhuận
program	chương trình
programme	chương trình
progress	phát triển
project	dự án
promise	lời hứa
promote	khuyến khích
promotion	khuyến mãi
prompt	lời nhắc
promptly	kịp thời
pronounce	phát âm
pronunciation	cách phát âm
proof	bằng chứng
proper	đúng
properly	đúng
property	bất động sản
proportion	tỷ lệ
proposal	đề nghị
propose	cầu hôn
prospect	khách hàng tiềm năng
protect	bảo vệ
protection	sự bảo vệ
protest	phản đối
proud	tự hào
proudly	tự hào
prove	chứng minh
provide	cung cấp
provided	được cung cấp
providing	cung cấp
pub	quán rượu
public	công cộng
publication	ấn phẩm
publicity	công khai
publicly	công khai
publish	công bố
publishing	xuất bản
pull	kéo
punch	cú đấm
punish	trừng phạt
punishment	sự trừng phạt
pupil	học sinh
purchase	mua, tựa vào, bám vào
pure	nguyên chất
purely	hoàn toàn
purple	màu tím
purpose	mục đích
pursue	theo đuổi
push	đẩy
put	đặt
qualification	trình độ chuyên môn
qualified	đủ tiêu chuẩn
qualify	hội đủ điều kiện
quality	phẩm chất
quantity	số lượng
quarter	phần tư
queen	nữ hoàng
question	câu hỏi
quick	nhanh chóng
quickly	Mau
quiet	Yên tĩnh
quietly	lặng lẽ
quit	bỏ
quite	khá
quote	Trích dẫn
race	cuộc đua
racing	cuộc đua
radio	radio
rail	đường sắt
railroad	đường sắt
railway	đường sắt
rain	mưa
raise	nâng cao
range	phạm vi
rank	cấp
rapid	nhanh
rapidly	nhanh chóng
rare	hiếm hoi
rarely	ít khi
rate	tỷ lệ
rather	hơn
raw	thô tục
reach	chạm tới
react	phản ứng
reaction	phản ứng
read	đọc
reader	người đọc
reading	đọc hiểu
ready	sẳn sàng
real	thực
realistic	thực tế
reality	thực tế
realize	nhận ra
really	có thật không
rear	phía sau
reason	lý do
reasonable	hợp lý
reasonably	hợp lý
recall	hồi tưởng
receipt	biên lai
receive	nhận được
recent	gần đây
recently	gần đây
reception	tiếp nhận
reckon	suy nghĩ
recognition	sự công nhận
recognize	nhìn nhận
recommend	giới thiệu
record	ghi lại
recording	ghi âm
recover	bình phục
red	đỏ
reduce	giảm
reduction	giảm bớt
refer	tham khảo
reference	tài liệu tham khảo
reflect	phản chiếu
reform	cải cách
refrigerator	tủ lạnh
refusal	từ chối
refuse	từ chối
regard	liên quan
regarding	về
region	khu vực
regional	khu vực
register	ghi danh
regret	hối tiếc
regular	đều đặn
regularly	thường xuyên
regulation	Quy định
reject	Từ chối
relate	liên hệ
related	liên quan
relation	quan hệ
relationship	mối quan hệ
relative	quan hệ
relatively	tương đối
relax	thư giãn
relaxed	thư giãn
relaxing	thư giãn
release	giải phóng
relevant	liên quan, thích hợp
relief	cứu trợ
religion	tôn giáo
religious	Tôn giáo
rely	dựa vào
remain	còn lại
remaining	còn lại
remains	còn lại
remark	nhận xét
remarkable	đáng chú ý
remarkably	đáng chú ý
remember	nhớ lại
remind	nhắc lại
remote	xa
removal	gỡ bỏ
remove	tẩy
rent	thuê
rented	đã thuê
repair	sửa
repeat	nói lại
repeated	lặp đi lặp lại
repeatedly	nhiều lần
replace	thay thế
reply	Đáp lại
report	bài báo cáo
represent	đại diện
representative	Tiêu biểu
reproduce	tái sản xuất
reputation	uy tín
request	yêu cầu
require	yêu cầu
requirement	yêu cầu
rescue	giải cứu
research	nghiên cứu
reservation	đặt trước
reserve	dự trữ
resident	cư dân
resist	kháng cự
resistance	sức đề kháng
resolve	giải quyết
resort	phương sách
resource	nguồn
respect	sự tôn trọng
respond	trả lời
response	phản ứng
responsibility	trách nhiệm
responsible	chịu trách nhiệm
rest	nghỉ ngơi
restaurant	nhà hàng
restore	khôi phục
restrict	hạn chế
restricted	bị hạn chế
restriction	sự hạn chế
result	kết quả
retain	giữ lại
retire	về hưu
retired	đã nghỉ hưu
retirement	nghỉ hưu
return	trở về
reveal	tiết lộ
reverse	đảo ngược
review	ôn tập
revise	xem lại
revision	sửa đổi
revolution	Cuộc cách mạng
reward	phần thưởng
rhythm	nhịp
rice	cơm
rich	giàu có
rid	thoát khỏi
ride	dap xe
rider	người cưỡi ngựa
ridiculous	nực cười
riding	cưỡi ngựa
right	đúng
rightly	đúng
ring	nhẫn
rise	tăng lên
risk	rủi ro
rival	đối thủ
river	con sông
road	đường
rob	cướp
rock	đá
role	vai trò
roll	cuộn
romantic	lãng mạn
roof	mái nhà
room	phòng
root	nguồn gốc
rope	dây thừng
rough	thô
roughly	gần như
round	tròn
rounded	làm tròn
route	tuyến đường
routine	công Việt Hằng ngày
row	hàng
royal	hoàng gia
rub	chà xát
rubber	cao su
rubbish	rác rưởi
rude	thô lỗ
rudely	thô lỗ
ruin	làm hỏng
ruined	hủy hoại
rule	quy tắc
ruler	cái thước
rumour	tin đồn
run	chạy
runner	Á hậu
running	đang chạy
rural	nông thôn
rush	vội vã
sack	bao
sad	buồn
sadly	thật đáng buồn
sadness	nỗi buồn
safe	an toàn
safely	an toàn
safety	sự an toàn
sail	cánh buồm
sailing	thuyền buồm
sailor	thủy thủ
salad	rau xà lách
salary	tiền lương
sale	buôn bán
salt	Muối
salty	mặn
same	tương tự
sample	mẫu vật
sand	cát
satisfaction	sự thỏa mãn
satisfied	hài lòng
satisfy	thỏa mãn
satisfying	thỏa mãn
Saturday	ngày thứ bảy
sauce	Nước xốt
save	tiết kiệm
saving	tiết kiệm
say	Nói
scale	tỉ lệ
scare	sợ hãi
scared	sợ hãi
scene	bối cảnh
schedule	lịch trình
scheme	kế hoạch
school	trường học
science	khoa học
scientific	thuộc về khoa học
scientist	nhà khoa học
scissors	cây kéo
score	ghi bàn
scratch	vết trầy
scream	hét lên
screen	màn
screw	Đinh ốc
sea	biển
seal	niêm phong
search	Tìm kiếm
season	Mùa
seat	ghế
second	thứ hai
secondary	thứ hai
secret	bí mật
secretary	Thư ký
secretly	bí mật
section	phần
sector	ngành
secure	đảm bảo
security	Bảo vệ
see	xem
seed	hạt giống
seek	tìm kiếm
seem	hình như
select	lựa chọn
selection	lựa chọn
self	bản thân
sell	bán
senate	Thượng nghị viện
senator	thượng nghị sĩ
send	gửi
senior	cao cấp
sense	giác quan
sensible	hợp lý
sensitive	nhạy cảm
sentence	kết án
separate	tách rời
separated	ly thân
separately	riêng biệt
separation	tách biệt
September	Tháng Chín
series	loạt
serious	nghiêm trọng
seriously	nghiêm túc
servant	người hầu
serve	phục vụ
service	dịch vụ
session	phiên
set	bộ
settle	dàn xếp
seven	bảy
seventeen	mười bảy
seventh	thứ bảy
seventieth	thứ bảy mươi
seventy	bảy mươi
several	một số
severe	nghiêm trọng
severely	nghiêm khắc
sew	may
sewing	May
sex	tình dục
sexual	tình dục
sexually	tình dục
shade	bóng râm
shadow	bóng
shake	lắc
shall	sẽ
shallow	nông
shame	xấu hổ
shape	hình dạng
shaped	hình
share	chia sẻ
sharp	nhọn
sharply	mạnh
shave	cạo râu
she	bà ấy
sheep	con cừu
sheet	tấm
shelf	kệ
shell	vỏ
shelter	nơi trú ẩn
shift	sự dịch chuyển
shine	tỏa sáng
shiny	sáng bóng
ship	tàu
shirt	áo sơ mi
shock	sốc
shocked	bị sốc
shocking	gây sốc
shoe	giày
shoot	bắn
shooting	chụp
shop	cửa tiệm
shopping	mua sắm
short	ngắn
shortly	không lâu sau
shot	bắn
should	Nên
shoulder	vai
shout	kêu la
show	chỉ
shower	vòi hoa sen
shut	đóng cửa
shy	nhát
sick	đau ốm
side	bên
sideways	ngang
sight	thị giác
sign	ký tên
signal	tín hiệu
signature	Chữ ký
significant	có ý nghĩa
significantly	đáng kể
silence	khoảng lặng
silent	im lặng
silk	lụa
silly	ngớ ngẩn
silver	bạc
similar	giống
similarly	tương tự
simple	đơn giản
simply	đơn giản
since	kể từ đó
sincere	chân thành
sincerely	Trân trọng
sing	hát
singer	ca sĩ
singing	ca hát
single	Độc thân
sink	bồn rửa
sir	quý ngài
sister	em gái
sit	ngồi
site	trang web
situation	tình hình
six	sáu
sixteen	mười sáu
sixth	thứ sáu
sixtieth	thứ sáu mươi
sixty	sáu mươi
size	kích thước
skilful	khéo léo
skilfully	khéo léo
skill	kỹ năng
skilled	có tay nghề
skin	da
skirt	váy
sky	bầu trời
sleep	ngủ
sleeve	tay áo
slice	lát cắt
slide	trượt
slight	nhẹ
slightly	khinh bỉ
slip	trượt
slope	độ dốc
slow	chậm chạp
slowly	chậm rãi
small	nhỏ bé
smart	thông minh
smash	đập vỡ
smell	mùi
smile	nụ cười
smoke	hút thuốc lá
smoking	hút thuốc lá
smooth	trơn tru
smoothly	thông suốt
snake	con rắn
snow	tuyết
so	vì thế
soap	xà bông tắm
social	xã hội
socially	xã hội
society	xã hội
sock	bít tất
soft	mềm mại
softly	nhẹ nhàng
software	phần mềm
soil	đất
soldier	lính
solid	chất rắn
solution	dung dịch
solve	gỡ rối
some	một số
somebody	có ai
somehow	bằng cách nào đó
someone	người nào
something	một cái gì đó
sometimes	đôi khi
somewhat	phần nào
somewhere	một vài nơi
son	Con trai
song	bài hát
soon	Sớm
sore	đau đớn
sorry	lấy làm tiếc
sort	sắp xếp
soul	Linh hồn
sound	âm thanh
soup	Súp
sour	chua
source	nguồn
south	miền Nam
southern	phía Nam
space	không gian
spare	bổ sung
speak	nói
speaker	loa
special	đặc biệt
specialist	chuyên gia
specially	đặc biệt
specific	riêng
specifically	đặc biệt
speech	phát biểu
speed	tốc độ
spell	Đánh vần
spelling	chính tả
spend	tiêu
spice	gia vị
spicy	vị cay
spider	con nhện
spin	quay
spirit	tinh thần
spiritual	thuộc linh
spite	mặc dù
split	chia ra
spoil	làm hỏng
spoken	nói
spoon	cái thìa
sport	môn thể thao
spot	nơi
spray	Xịt nước
spread	Lan tràn
spring	mùa xuân
square	Quảng trường
squeeze	siết chặt
stable	ổn định
staff	cán bộ
stage	sân khấu
stair	cầu thang
stamp	con tem
stand	đứng
standard	Tiêu chuẩn
star	ngôi sao
stare	nhìn chằm chằm
start	khởi đầu
state	tiểu bang
statement	tuyên bố
station	ga tàu
statue	bức tượng
status	trạng thái
stay	ở lại
steadily	đều đặn
steady	vững chắc
steal	lấy trộm
steam	hơi nước
steel	Thép
steep	dốc
steeply	dốc
steer	chỉ đạo
step	bậc thang
stick	gậy
sticky	dính
stiff	cứng
stiffly	cứng rắn
still	vẫn
sting	sting
stir	khuấy động
stock	cổ phần
stomach	Dạ dày
stone	cục đá
stop	dừng lại
store	cửa hàng
storm	bão táp
story	câu chuyện
stove	bếp
straight	thẳng
strain	sự căng thẳng, quá tải
strange	lạ
strangely	kỳ dị
stranger	người lạ mặt
strategy	chiến lược
stream	suối
street	đường phố
strength	sức mạnh
stress	nhấn mạnh
stressed	nhấn mạnh
stretch	căng ra
strict	nghiêm khắc
strictly	nghiêm khắc
strike	đình công
striking	nổi bật
string	chuỗi
strip	dải
stripe	vạch sọc
striped	sọc
stroke	Cú đánh
strong	mạnh
strongly	mạnh mẽ
structure	kết cấu
struggle	cuộc đấu tranh
student	sinh viên
studio	phòng thu
study	học
stuff	đồ đạc
stupid	ngốc nghếch
style	Phong cách
subject	môn học
substance	vật chất
substantial	đáng kể
substantially	đáng kể
substitute	thay thế
succeed	thành công
success	sự thành công
successful	thành công
successfully	thành công
such	như là
suck	hút
sudden	đột nhiên
suddenly	đột ngột
suffer	đau khổ
suffering	đau khổ
sufficient	đủ
sufficiently	đủ
sugar	đường
suggest	đề nghị
suggestion	gợi ý
suit	bộ đồ
suitable	thích hợp
suitcase	va li
suited	phù hợp
sum	tổng hợp
summary	tóm lược
summer	mùa hè
sun	mặt trời
Sunday	chủ nhật
superior	cấp trên
supermarket	siêu thị
supply	cung cấp
support	ủng hộ
supporter	người ủng hộ
suppose	giả sử
sure	chắc chắn rồi
surely	chắc chắn
surface	bề mặt
surname	họ
surprise	sự ngạc nhiên
surprised	ngạc nhiên
surprising	thật ngạc nhiên
surprisingly	thật ngạc nhiên
surround	vây quanh
surrounding	xung quanh
surroundings	vùng lân cận
survey	khảo sát
survive	sống sót
suspect	nghi ngờ
suspicion	sự nghi ngờ
suspicious	đáng ngờ
swallow	nuốt
swear	xin thề
swearing	chửi thề
sweat	mồ hôi
sweater	áo len
sweep	quét
sweet	ngọt
swell	sưng lên
swelling	sưng tấy
swim	bơi
swimming	bơi lội
swing	lung lay
switch	công tắc điện
swollen	sưng lên
symbol	ký hiệu
sympathetic	thông cảm
sympathy	cảm thông
system	hệ thống
table	bàn
tablet	máy tính bảng
tackle	giải quyết
tail	đuôi
take	lấy
talk	nói chuyện
tall	cao
tank	xe tăng
tap	vòi nước
tape	băng dính
target	Mục tiêu
task	bài tập
taste	nếm thử
tax	Thuế
taxi	xe tắc xi
tea	trà
teach	dạy
teacher	giáo viên
teaching	giảng bài
team	đội
tear	nước mắt
technical	kỹ thuật
technique	kỹ thuật
technology	Công nghệ
telephone	Điện thoại
television	vô tuyến
tell	nói
temperature	nhiệt độ
temporarily	tạm thời
temporary	tạm thời
ten	mười
tend	có xu hướng
tendency	xu hướng
tension	sự căng thẳng
tent	lều
tenth	thứ mười
term	kỳ hạn
terrible	kinh khủng
terribly	khủng khiếp
test	kiểm tra
text	bản văn
